Type,Indicator
Domain,467jtzbkqcfl22t9hxh[.]live
Domain,ddgaoylh4h420fvm7o5[.]live
Domain,u7aq3ocwrexd70ulpdj[.]live
Domain,zavpejjyz432d577l2e[.]live
Domain,8fv4dxp7lx035f8ylk7[.]live
Domain,cd7yt860whhm7g7ylj8[.]live
Domain,g8iqelymkc4eya9zs49[.]live
Domain,hy0zu0fuf7rc2ou5aje[.]live
Domain,k1rg2oz4zpzw91pdx90[.]live
Domain,ogqw9cpz7t7et3j1rur[.]live
Domain,spacexshares[.]xyz
Domain,fidelityspacex[.]site
Domain,fidelityspacexipo[.]site
Domain,robinhoodspacex[.]com
Domain,adanispacex[.]com
Domain,muskspacexipo[.]vip
Domain,muskspacexipo[.]com
