Type,Data,Note
Info,Domain names abusing the Hiragana character ん,https://www.netcraft.com/blog/down-the-hiragana-hole-uncovering-a-new-wave-of-lookalike-domains
domain,www.kyberswap.xn--com.detailor.der-sy4mga.kybercampaigns-aggregator.com,
domain,kyberswap.xn--com.detailor.der-sy4mga.kybercampaigns-aggregator.com,
domain,cloudflare.xn--com.detailrestric-access-ge5vga.com-restrict.net,
domain,securitum.xn--comresources-jv4k.db.details-securitum.com,
domain,admin.booking.xn--com.detail-nq4hga.shkaff.net,
domain,.google.xn--com.detailsaccount-o34pha.test.c0ffee.ca,
domain,rabby.xn--iowalletdownload-014oga.optimal.se.net,
domain,xn--frusers-.details-e04n.website,
domain,chromewebstore.google.xn--com.detailrabby-wallets-tc5uga.comprehensive-protection.guru,
domain,account.booking.xn--com.detailrestric-access-ge5vga.com-restivates.org,
domain,account.booking.xn--com.detailrestric-access-ge5vga.com-restrict.net,
domain,xn--comwallet-nq4h.download-now.se.net,
domain,web3.okx.xn--comwallet-nq4h.download-now.se.net,
domain,xn--com.detailokx-wallet-x64rga.comprehensive-protection.guru,
domain,chromewebstore.google.xn--com.detailokx-wallet-x64rga.comprehensive-protection.guru,
domain,www.nubank.xn--comsuacontacadastropessoal-cj5yia.webphishing.com,
domain,.google.xn--comsearchwww-jv4kga.pavloh.com,
domain,booking.xn--com.detailrestric-access-ge5vga.admins-booking.com,
domain,xn--com.detailrestric-access-ge5vga.admins-booking.com,
domain,account.booking.xn--com.detailrestric-access-ge5vga.admins-booking.com,
domain,booking.xn--com.detailrestric-access-ge5vga.www-account-booking.com,
domain,xn--com.detailrestric-access-ge5vga.www-account-booking.com,
domain,booking.xn--com.detailrestric-access-ge5vga.com-reactivate.info,
domain,xn--com.detailrestric-access-ge5vga.com-reactivate.info,
domain,account.booking.xn--com.detailrestric-access-ge5vga.com-reactivate.info,
domain,account.booking.xn--com.detailrestric-access-ge5vga.www-account-booking.com,
domain,account.booking.xn--com.detailrestric-access-ge5vga.com-reactivate.cfd,
domain,xn--com.detailrestric-access-ge5vga.com-reactivate.cfd,
domain,booking.xn--com.detailrestric-access-ge5vga.com-reactivate.cfd,
domain,www.booking.xn--com.detailrestric-access-ge5vga.com-reactivate.cfd,
domain,www.www.portal.xn--cnjs-y53c5dng0pvc0mqe.socchanpxy.f5.si,
domain,www.chromewebstore.google.xn--com.detailrabby-wallet-694tga.comprehensive-protection.network,
domain,xn--com.detailokx-wallet-x64rga.comprehensive-protection.network,
domain,.google.xn--com.detailokx-wallet-x64rga.comprehensive-protection.network,
domain,chromewebstore.google.xn--com.detailokx-wallet-x64rga.comprehensive-protection.network,
domain,xn--com.detailokx-wallet-x64rga.comprehensive-protection.technology,
domain,.google.xn--com.detailokx-wallet-x64rga.comprehensive-protection.technology,
domain,chromewebstore.google.xn--com.detailokx-wallet-x64rga.comprehensive-protection.technology,
domain,www.google.xn--com.detailokx-wallet-x64rga.comprehensive-protection.center,
domain,www.xn--com.detailbitget-wallet-tc5uga.high-security.live,
domain,xn--com.detailbitget-wallet-tc5uga.high-security.live,
domain,.google.xn--com.detailokx-wallet-x64rga.comprehensive-protection.services,
domain,xn--com.detailexodus-wallet-tc5uga.comprehensive-protection.services,
domain,.google.xn--com.detailexodus-wallet-tc5uga.comprehensive-protection.services,
domain,xn--com.detailokx-wallet-x64rga.comprehensive-protection.services,
domain,xn--com.detailsolflare-wallet-2f5wga.comprehensive-protection.services,
domain,.google.xn--com.detailsolflare-wallet-2f5wga.comprehensive-protection.services,
domain,chromewebstore.google.xn--com.detailexodus-wallet-tc5uga.comprehensive-protection.services,
domain,chromewebstore.google.xn--com.detailokx-wallet-x64rga.comprehensive-protection.services,
domain,chromewebstore.google.xn--com.detailsolflare-wallet-2f5wga.comprehensive-protection.services,
domain,.google.xn--com.detailokx-wallet-x64rga.comprehensive-protection.center,
domain,xn--com.detailsolflare-wallet-2f5wga.comprehensive-protection.center,
domain,.google.xn--com.detailsolflare-wallet-2f5wga.comprehensive-protection.center,
domain,xn--com.detailokx-wallet-x64rga.comprehensive-protection.center,
domain,xn--com.detailexodus-wallet-tc5uga.comprehensive-protection.center,
domain,.google.xn--com.detailexodus-wallet-tc5uga.comprehensive-protection.center,
domain,chromewebstore.google.xn--com.detailexodus-wallet-tc5uga.comprehensive-protection.center,
domain,chromewebstore.google.xn--com.detailokx-wallet-x64rga.comprehensive-protection.center,
domain,chromewebstore.google.xn--com.detailsolflare-wallet-2f5wga.comprehensive-protection.center,
domain,xn--com.detailokx-wallet-x64rga.high-security.live,
domain,.google.xn--com.detailokx-wallet-x64rga.high-security.live,
domain,.google.xn--com.detailbitget-wallet-tc5uga.high-security.live,
domain,xn--com.detailsolflare-wallet-2f5wga.high-security.live,
domain,.google.xn--com.detailsolflare-wallet-2f5wga.high-security.live,
domain,chromewebstore.google.xn--com.detailbitget-wallet-tc5uga.high-security.live,
domain,chromewebstore.google.xn--com.detailokx-wallet-x64rga.high-security.live,
domain,chromewebstore.google.xn--com.detailsolflare-wallet-2f5wga.high-security.live,
domain,xn--com.detailbitget-wallet-tc5uga.high-security.guru,
domain,.google.xn--com.detailbitget-wallet-tc5uga.high-security.guru,
domain,chromewebstore.google.xn--com.detailbitget-wallet-tc5uga.high-security.guru,
domain,xn--com.detailsolflare-wallet-2f5wga.high-security.guru,
domain,.google.xn--com.detailsolflare-wallet-2f5wga.high-security.guru,
domain,xn--com.detailokx-wallet-x64rga.high-security.guru,
domain,.google.xn--com.detailokx-wallet-x64rga.high-security.guru,
domain,chromewebstore.google.xn--com.detailokx-wallet-x64rga.high-security.guru,
domain,chromewebstore.google.xn--com.detailsolflare-wallet-2f5wga.high-security.guru,
domain,xn--com.detailcoinbase-wallet-2f5wga.homepagesite.desktop-i.eu,
domain,.google.xn--com.detailcoinbase-wallet-2f5wga.homepagesite.desktop-i.eu,
domain,chromewebstore.google.xn--com.detailcoinbase-wallet-2f5wga.homepagesite.desktop-i.eu,
domain,xn--com.detailokx-wallet-x64rga.high-security.agency,
domain,.google.xn--com.detailokx-wallet-x64rga.high-security.agency,
domain,chromewebstore.google.xn--com.detailokx-wallet-x64rga.high-security.agency,
