Type,Data,Info
Description,https://www.netcraft.com/blog/taxpayers-drivers-targeted-in-refund-and-road-toll-smishing-scams,Domains involved in a smishing scam using tax refunds and road tolls as a lure
Domain,alabama.com-payhbv.vip,
Domain,alabama.mobile-abe.vip,
Domain,alabama.mobile-aye.vip,
Domain,alabama.mobile-bcm.vip,
Domain,alabama.mobile-bnv.vip,
Domain,alabama.mobile-buq.vip,
Domain,alabama.mobile-ctw.vip,
Domain,alabama.mobile-cxk.vip,
Domain,alabama.mobile-dsi.vip,
Domain,alabama.mobile-fbf.vip,
Domain,alabama.mobile-gae.vip,
Domain,alabama.mobile-gkj.vip,
Domain,alabama.mobile-gvm.vip,
Domain,alabama.mobile-gxw.vip,
Domain,alabama.mobile-itc.vip,
Domain,alabama.mobile-juz.vip,
Domain,alabama.mobile-kwa.vip,
Domain,alabama.mobile-oev.vip,
Domain,alabama.mobile-ohh.vip,
Domain,alabama.mobile-tew.vip,
Domain,alabama.mobile-txj.vip,
Domain,alabama.mobile-uhk.vip,
Domain,alabama.mobile-wkl.vip,
Domain,alabama.mobile-zf.vip,
Domain,alabama.mobile-zkn.vip,
Domain,alabama.mobile-zrj.vip,
Domain,alabama.mobile-zzv.vip,
Domain,anpomo.shop,
Domain,appsnd.taxwl.cc,
Domain,betkom651.com,
Domain,bzst.com-payyd.my,
Domain,ca.com-lacitfkr.cc,
Domain,ca.goumf.cc,
Domain,ca.goumg.cc,
Domain,canada.ca-payyr.cc,
Domain,canada.ca.servicestaxe.top,
Domain,canada.ca.servicestaxes.top,
Domain,canada.com-myylo.vip,
Domain,columbus.paywev.cc,
Domain,comptroller.com-caadv.my,
Domain,comptroller.com-caigd.my,
Domain,comptroller.com-cakcv.my,
Domain,comptroller.com-capsh.my,
Domain,comptroller.paydasm.cc,
Domain,comptroller.payfghj.cc,
Domain,comptroller.payflka.cc,
Domain,comptroller.payflkc.cc,
Domain,comptroller.payflkn.cc,
Domain,craservices.599785.com,
Domain,ct.com-caqlz.my,
Domain,ct.com-paynhs.vip,
Domain,ct.com-payxuw.vip,
Domain,ct.goumd.cc,
Domain,ct.goumn.click,
Domain,ct.goumo.cc,
Domain,ct.goump.cc,
Domain,ct.goumr.cc,
Domain,ct.goums.cc,
Domain,ct.goumt.cc,
Domain,ct.goumu.cc,
Domain,ct.goumy.cc,
Domain,ctpteam.us.cc,
Domain,ctptsv.us.cc,
Domain,ddhl.us.cc,
Domain,de.delaware-im.cc,
Domain,delaware.mobile-pmn.vip,
Domain,dgt.htef.cc,
Domain,dhacl.shop,
Domain,dhl-team.us.cc,
Domain,dhl-vip.us.cc,
Domain,dhll.us.cc,
Domain,dhlnet.us.cc,
Domain,dhlofic.us.cc,
Domain,dhlorg.us.cc,
Domain,dhlteam.us.cc,
Domain,dhlvip.us.cc,
Domain,dhlvips.us.cc,
Domain,dmvca.gov-coee.cc,
Domain,dmvca.gov-coeq.cc,
Domain,dmvca.gov-coew.cc,
Domain,dpm.baby,
Domain,evri.tracktw.top,
Domain,evri.trackyq.top,
Domain,evriiouk.qpon,
Domain,ezpass.gov-coee.cc,
Domain,ezpass.gov-coeq.cc,
Domain,ezpass.gov-coew.cc,
Domain,ezpass.payatk.cc,
Domain,ezpass.payatn.cc,
Domain,ezpass.payatv.cc,
Domain,ezpass.payatw.cc,
Domain,ezpass.paycia.cc,
Domain,ezpass.payciv.cc,
Domain,ezpass.paycix.cc,
Domain,ezpass.payciz.cc,
Domain,ezpass.paydia.cc,
Domain,ezpass.payhev.cc,
Domain,ezpass.payiea.cc,
Domain,ezpass.payieo.cc,
Domain,ezpass.payier.cc,
Domain,ezpass.payiet.cc,
Domain,ezpass.payieu.cc,
Domain,ezpass.payiev.cc,
Domain,ezpass.paykce.cc,
Domain,ezpass.paykie.cc,
Domain,ezpass.paykiz.cc,
Domain,ezpass.paylke.cc,
Domain,ezpass.paylki.cc,
Domain,ezpass.paylkr.cc,
Domain,ezpass.paylkt.cc,
Domain,ezpass.paylku.cc,
Domain,ezpass.paylkw.cc,
Domain,ezpass.paylky.cc,
Domain,ezpass.paynzb.cc,
Domain,ezpass.paynzk.cc,
Domain,ezpass.paynzm.cc,
Domain,ezpass.paynzv.cc,
Domain,ezpass.paynzx.cc,
Domain,ezpass.payroe.cc,
Domain,ezpass.payrom.cc,
Domain,ezpass.payron.cc,
Domain,ezpass.payrot.cc,
Domain,ezpass.payrou.cc,
Domain,ezpass.payrov.cc,
Domain,ezpass.payrox.cc,
Domain,ezpass.paytsa.cc,
Domain,ezpass.paytse.cc,
Domain,ezpass.paytsi.cc,
Domain,ezpass.paytso.cc,
Domain,ezpass.paytsr.cc,
Domain,ezpass.paytsu.cc,
Domain,ezpass.paytsw.cc,
Domain,ezpass.paytsx.cc,
Domain,ezpass.paytsz.cc,
Domain,ezpass.payuel.cc,
Domain,ezpass.payues.cc,
Domain,ezpass.payuet.cc,
Domain,ezpass.payxer.cc,
Domain,ezpass.payxet.cc,
Domain,fl.azdmv.cc,
Domain,fl.ewdmv.cc,
Domain,fl.goumad.cc,
Domain,fl.goumaf.cc,
Domain,fl.goumag.cc,
Domain,fl.goumah.cc,
Domain,fl.goumak.cc,
Domain,fl.goumas.cc,
Domain,fl.goumax.cc,
Domain,fl.goumh.cc,
Domain,fl.goumh.click,
Domain,fl.goumj.cc,
Domain,fl.goumk.cc,
Domain,fl.goumv.cc,
Domain,fl.goumv.click,
Domain,fl.goumva.cc,
Domain,fl.goumvcb.cc,
Domain,fl.goumvcd.cc,
Domain,fl.goumvce.cc,
Domain,fl.goumvcg.cc,
Domain,fl.goumvch.cc,
Domain,fl.goumvci.cc,
Domain,fl.goumvcj.cc,
Domain,fl.goumvcl.cc,
Domain,fl.goumvcm.cc,
Domain,fl.goumvcn.cc,
Domain,fl.goumvco.cc,
Domain,fl.goumvcq.cc,
Domain,fl.goumvcr.cc,
Domain,fl.goumvct.cc,
Domain,fl.goumvcu.cc,
Domain,fl.goumvcv.cc,
Domain,fl.goumvcw.cc,
Domain,fl.goumvcy.cc,
Domain,fl.goumvcz.cc,
Domain,fl.goumvs.cc,
Domain,fl.goumx.cc,
Domain,fl.goumz.cc,
Domain,fl.gqdmva.cc,
Domain,fl.gqdmvd.cc,
Domain,fl.gqdmvf.cc,
Domain,fl.gqdmvs.cc,
Domain,fl.hsdmv.cc,
Domain,fl.hxdmv.cc,
Domain,fl.kodmv.cc,
Domain,fl.krdmv.cc,
Domain,fl.kudmv.cc,
Domain,fl.kwdmv.cc,
Domain,fl.xzdmv.cc,
Domain,flhsmv.fdmvutm.vip,
Domain,florida.revenuetfz.cc,
Domain,floridarevenue.us.cc,
Domain,floridarevenued.us.cc,
Domain,floridarevenuef.us.cc,
Domain,floridarevenueh.us.cc,
Domain,floridarevenuek.us.cc,
Domain,floridarevenuel.us.cc,
Domain,floridarevenueq.us.cc,
Domain,floridarevenues.us.cc,
Domain,floridarevenuew.us.cc,
Domain,ftb.com-myhtj.vip,
Domain,getipass.refur-trw.cc,
Domain,goumad.cc,
Domain,goumd.cc,
Domain,goumh.cc,
Domain,goumk.cc,
Domain,goump.cc,
Domain,goumt.cc,
Domain,goumu.cc,
Domain,goumv.cc,
Domain,goumva.cc,
Domain,goumvca.cc,
Domain,goumvcb.cc,
Domain,goumvcd.cc,
Domain,goumvce.cc,
Domain,goumvcf.cc,
Domain,goumvcg.cc,
Domain,goumvch.cc,
Domain,goumvci.cc,
Domain,goumvcj.cc,
Domain,goumvcl.cc,
Domain,goumvcm.cc,
Domain,goumvcn.cc,
Domain,goumvco.cc,
Domain,goumvcq.cc,
Domain,goumvcr.cc,
Domain,goumvcs.cc,
Domain,goumvct.cc,
Domain,goumvcu.cc,
Domain,goumvcv.cc,
Domain,goumvcw.cc,
Domain,goumvcx.cc,
Domain,goumvcy.cc,
Domain,goumvcz.cc,
Domain,goumvs.cc,
Domain,goumz.cc,
Domain,gov-dwpop.top,
Domain,gov-dwpqid.top,
Domain,gov-dwpqih.top,
Domain,gov-dwpqii.top,
Domain,gov-dwpqik.top,
Domain,gov-dwpqit.top,
Domain,gov-dwpqiy.top,
Domain,gov-dwpqoa.top,
Domain,gov-dwpqod.top,
Domain,gov-dwpqof.top,
Domain,gov-dwpqoi.top,
Domain,gov-dwpqoo.top,
Domain,gov-dwpqop.top,
Domain,gov-dwpqos.top,
Domain,gov-dwpqta.top,
Domain,gov-dwpqte.top,
Domain,gov-dwpqti.top,
Domain,gov-dwpqto.top,
Domain,gov-dwpqtp.top,
Domain,gov-dwpqtr.top,
Domain,gov-dwpqts.top,
Domain,gov-dwpqtt.top,
Domain,gov-dwpqtu.top,
Domain,gov-dwpqty.top,
Domain,gov-dwpqun.top,
Domain,gov-dwpquv.top,
Domain,gov.uk-dwpcae.icu,
Domain,gov.uk-dwpcat.icu,
Domain,gov.uk-dwpilr.icu,
Domain,gov.uk-dwpilt.icu,
Domain,gov.uk-dwpilu.icu,
Domain,gov.uk-dwpily.icu,
Domain,gov.uk-dwplh.icu,
Domain,gov.uk-dwpli.icu,
Domain,gov.uk-dwplib.icu,
Domain,gov.uk-dwplic.icu,
Domain,gov.uk-dwplik.icu,
Domain,gov.uk-dwplim.icu,
Domain,gov.uk-dwplin.icu,
Domain,gov.uk-dwplir.icu,
Domain,gov.uk-dwplis.icu,
Domain,gov.uk-dwplit.icu,
Domain,gov.uk-dwpliu.icu,
Domain,gov.uk-dwplix.icu,
Domain,gov.uk-dwpliy.icu,
Domain,gov.uk-dwpliz.icu,
Domain,gov.uk-dwplsb.icu,
Domain,gov.uk-dwplsi.icu,
Domain,gov.uk-dwplsn.icu,
Domain,gov.uk-dwplsu.icu,
Domain,gov.uk-dwplsy.icu,
Domain,gov.uk-dwplz.icu,
Domain,gov.uk-dwpme.icu,
Domain,gov.uk-dwpmr.icu,
Domain,gov.uk-dwpns.icu,
Domain,gov.uk-dwpuab.icu,
Domain,gov.uk-dwpuac.icu,
